"","SUBJECT.NAME","Obesity.BMI","Obesity.BodyLength","Obesity.Date.Month","Obesity.Date.Year","Obesity.Date.Season","Obesity.Date.StudyStartSeconds","Obesity.Date.Hour","Obesity.Date.StudyDay","GENDER","Obesity.EndNormalBW","CoatColour","CageDensity","Litter","cage","Biochem.Albumin","Biochem.ALP","Biochem.ALT","Biochem.AST","Biochem.Calcium","Biochem.Chloride","Biochem.Creatinine","Biochem.Glucose","Biochem.HDL","Biochem.LDL","Biochem.Phosphorous","Biochem.Potassium","Biochem.Sodium","Biochem.Tot.Cholesterol","Biochem.Tot.Protein","Biochem.Triglycerides","Biochem.Urea","Biochem.EndNormalBW","Biochem.Date.StudyDay","Biochem.Date.Season","Biochem.Date.Month","Biochem.Date.Year","Biochem.Age"
"30","A048035543",-0.508163627335427,7.7,4,2003,"spring",6652800,0,78,"M",24.5,"chocolate",4,2,"15B",29.3,182,86,361,2.21,103,27,13.86,2.14,0.5,NA,8.8,138,3.22,50.2,1.1,8.5,24.5,116,"spring",5,2003,72
"31","A048035553",-0.501119573117699,7.1,3,2003,"spring",4838400,0,57,"F",19.1,"albino",4,3,"12G",28.5,104,26,133,2.13,99,17,11.73,1.71,0.39,2.59,NA,135,2.64,41.7,0.31,6.2,19.1,NA,NA,NA,NA,74
"32","A048035776",-0.526275835057995,7.4,4,2003,"spring",6652800,0,78,"F",20.3,"black",4,1,"15F",33.1,156,46,252,2.2,106,20,6.1,1.69,0.37,3.18,NA,137,2.66,54.7,0.37,7.9,20.3,117,"spring",5,2003,73
"33","A048036063",-0.434524956740359,7.7,5,2003,"spring",9072000,0,106,"M",21.9,"black",3,2,"19D",29.6,93,81,130,2.15,101,NA,5,1.51,NA,2.72,NA,133,4.21,56.1,0.46,5.9,21.9,137,"summer",6,2003,65
"34","A048036259",-0.539008245580873,8,3,2003,"spring",5443200,0,64,"F",21.2,"light.brown",4,3,"13G",36.3,159,22,131,2.58,111,27,6.75,2.27,0.4,2.05,5.6,150,3,51.5,0.45,7.4,21.2,103,"spring",5,2003,74
"35","A048037297",-0.519673605405126,7.5,2,2003,"winter",1209600,0,15,"M",18.9,"black",7,1,"6A",28.8,147,30,162,2.12,100,21,11.92,1.94,0.36,2.72,NA,131,3.38,47.9,0.43,10.1,18.9,NA,NA,NA,NA,63
"36","A048038018",-0.516500581628054,7.9,2,2003,"winter",2419200,0,29,"F",23.4,"black",4,1,"8E",35.3,146,26,88,2.58,111,21,12.07,1.82,0.32,2.25,7,146,2.4,51.4,0.41,9.1,23.4,NA,NA,NA,NA,60
"37","A048040045",-0.519934364633556,7,4,2003,"spring",7862400,0,92,"F",17.3,"dark.brown",5,1,"17F",31.6,106,34,264,1.78,91,NA,3.68,1.01,0.25,2.83,NA,120,2.65,50.3,0.12,9.1,17.3,124,"spring",5,2003,64
"38","A048040526",-0.548660758473412,7.8,5,2003,"spring",9072000,0,106,"F",19.9,"chocolate",6,1,"19E",28.1,139,24,106,2.1,101,17,9.77,1.14,0.49,2.61,NA,136,2.12,47.5,0.18,7.3,19.9,138,"summer",6,2003,66
"39","A048041122",-0.444702071082357,6.9,1,2003,"winter",-518400,0,-5,"F",19.1,"chocolate",6,1,"3E",26.5,122,26,146,2.02,95,20,10.89,1.22,0.35,2.27,NA,130,2.09,44.1,0.49,9.4,19.1,NA,NA,NA,NA,63
"40","A048041606",-0.472067776059877,7.1,3,2003,"spring",3628800,0,43,"F",18.9,"light.brown",5,1,"10F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","A048042298",-0.531570145796273,6.9,4,2003,"spring",8467200,0,99,"F",15.8,"dark.brown",5,2,"18E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","A048042578",-0.482130327559025,8.3,4,2003,"spring",7862400,0,92,"M",26.5,"chocolate",5,2,"17C",30.7,133,34,124,2.06,96,22,12.04,2.62,0.45,1.98,NA,127,4.14,53.9,0.88,5.7,26.5,124,"spring",5,2003,66
"43","A048042626",-0.513653918199776,7.6,5,2003,"spring",9072000,0,106,"F",19.8,"albino",5,2,"19G",33.2,148,36,190,2.01,91,NA,6.44,NA,0.21,3.4,NA,125,2.43,54.6,0.34,7.5,19.8,138,"summer",6,2003,68
"44","A048042870",-0.504166298438653,8.4,3,2003,"spring",3628800,0,43,"M",26.3,"chocolate",4,2,"10C",31.5,162,37,150,2.26,102,17,11.76,2.57,0.4,2.77,NA,139,3.82,52.6,0.72,7.7,26.3,NA,NA,NA,NA,66
"45","A048043004",-0.421700684023379,6.7,4,2003,"spring",8467200,0,99,"F",20.9,"chocolate",4,1,"18G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","A048043525",-0.480993147960472,7.8,2,2003,"winter",1209600,0,15,"F",22.5,"light.brown",7,1,"6D",28.2,127,23,100,2.36,111,27,5.87,2.35,NA,2.7,8.1,145,4.92,45.4,0.38,9.6,22.5,NA,NA,NA,NA,63
"47","A048043833",-0.459164129947547,8.5,2,2003,"winter",3024000,0,36,"M",27,"black",4,2,"9A",27.9,73,34,76,2.28,104,22,NA,2.05,0.39,2.2,7.8,140,2.94,46.3,0.77,9.4,27,NA,NA,NA,NA,64
"48","A048044830",-0.557507201905658,7.6,1,2003,"winter",0,0,1,"F",17.7,"chocolate",7,1,"4E",29.2,163,30,104,2.16,105,25,10.11,1.5,0.69,2.12,NA,138,2.7,46.8,0.36,11.5,17.7,NA,NA,NA,NA,65
"49","A048045845",-0.478280920246901,7.5,4,2003,"spring",6652800,0,78,"M",23.6,"silverado",4,1,"15C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","A048047040",-0.442823386326038,7.2,3,2003,"spring",4233600,0,50,"F",19.9,"light.brown",6,1,"11E",31.4,190,43,79,2.48,108,22,NA,1.93,0.47,2.15,6.8,144,2.81,48.1,0.51,9,19.9,NA,NA,NA,NA,66
"51","A048047298",-0.417466044248332,6.2,4,2003,"spring",8467200,0,99,"M",18.5,"chocolate",4,2,"18A",29.9,127,83,110,2.11,94,20,NA,1.61,0.39,2.97,NA,129,3.02,39.3,0.45,5.5,18.5,130,"spring",5,2003,67
"52","A048048118",-0.473578198818586,6.9,4,2003,"spring",7862400,0,92,"F",22.1,"dark.brown",5,1,"17F",31.9,120,34,236,1.8,90,NA,4.19,1.14,0.24,2.89,NA,119,2.99,50.6,NA,7.8,22.1,124,"spring",5,2003,64
"53","A048050779",-0.459478648751856,7.1,3,2003,"spring",6048000,0,71,"F",19.8,"chocolate",4,3,"14F",26.6,140,62,442,1.92,102,18,8.96,1.01,0.49,2.31,NA,131,2.08,NA,0.17,6.6,19.8,110,"spring",5,2003,71
"54","A048050833",-0.425840071485707,7.5,3,2003,"spring",3628800,0,43,"M",26.7,"black",4,2,"10C",30.6,171,49,145,2.42,111,19,6.56,2.46,0.33,2.83,6.9,145,3.21,47.8,0.56,8.6,26.7,NA,NA,NA,NA,66
"55","A048051064",-0.494426112928133,8,5,2003,"spring",9072000,0,106,"M",25.4,"black",5,3,"19C",25.3,112,39,95,2.04,95,20,9.67,1.87,0.39,2.45,NA,130,2.98,36.4,0.34,8,25.4,137,"summer",6,2003,67
"56","A048051824",-0.447754180347157,8.1,1,2003,"winter",0,0,1,"M",29.9,"chocolate",3,1,"4C",22.6,104,29,69,1.89,95,18,12.34,1.6,0.3,2.28,NA,128,2.46,42.6,0.62,5.4,29.9,NA,NA,NA,NA,64
"57","A048052595",-0.520622664976113,8,4,2003,"spring",6652800,0,78,"M",25.7,"chocolate",4,2,"15B",30.6,126,43,133,2.05,95,20,7.17,1.81,0.37,2.86,NA,130,3.58,55.4,0.41,9.1,25.7,116,"spring",5,2003,72
"58","A048053604",-0.559790828613109,7.5,2,2003,"winter",2419200,0,29,"F",20.4,"black",4,1,"8E",33.1,191,31,112,2.58,109,20,9.71,1.74,0.27,2.92,7.5,145,2.37,49.3,0.43,8,20.4,NA,NA,NA,NA,60
"59","A048053821",-0.55026497919738,7.7,1,2003,"winter",0,0,1,"F",19.2,"chocolate",5,1,"4F",29.8,134,33,127,2,96,21,10.89,2.14,0.64,2.4,NA,128,3.49,49.3,0.23,7,19.2,NA,NA,NA,NA,65
"60","A048053860",-0.514995976601688,7.1,1,2003,"winter",0,0,1,"F",17.6,"chocolate",7,1,"4E",28.3,143,36,99,2.15,100,23,12.8,1.3,0.37,NA,NA,134,2.1,47.1,0.46,8.8,17.6,NA,NA,NA,NA,65
"61","A048054628",-0.289130772364273,6,3,2003,"spring",5443200,0,64,"F",23,"black",4,1,"13F",32.7,101,26,219,2.33,105,23,10.54,NA,NA,NA,NA,138,NA,46.7,NA,6.9,23,103,"spring",5,2003,73
"62","A048054885",-0.457944943040542,8.3,2,2003,"winter",1814400,0,22,"F",28,"light.brown",5,1,"7A",26.9,101,34,73,2.27,108,21,9.86,2.06,0.63,2.24,7.5,142,3.23,47.7,0.42,7.9,28,NA,NA,NA,NA,65
"63","A048055081",-0.520979495248046,7.4,2,2003,"winter",3024000,0,36,"F",19.4,"chocolate",5,2,"9G",31.7,114,36,250,1.95,94,NA,8.65,1.05,0.3,2.92,NA,127,2.72,51.4,NA,6.9,19.4,NA,NA,NA,NA,65
"64","A048055545",-0.457004029624001,7.1,3,2003,"spring",4838400,0,57,"F",20.7,"chocolate",4,3,"12G",29.6,109,20,86,2.18,101,21,8.45,1.33,0.36,1.83,NA,137,2.06,43.2,0.35,8.1,20.7,NA,NA,NA,NA,74
"65","A048056266",-0.338088035806025,7.2,5,2003,"spring",9072000,0,106,"M",26.5,"black",3,2,"19D",31.4,118,56,149,2.04,100,NA,5.73,1.56,0.44,2.73,NA,132,3.37,58,NA,NA,26.5,137,"summer",6,2003,65
"66","A048056786",-0.558879923655098,7.8,3,2003,"spring",5443200,0,64,"F",20.4,"black",3,2,"13H",32.8,163,25,118,2.18,100,22,10.05,1.52,0.35,2.3,NA,134,2.53,46.6,0.41,7.6,20.4,103,"spring",5,2003,73
"67","A048057565",-0.366847280153625,6.4,4,2003,"spring",8467200,0,99,"F",18.1,"light.brown",3,1,"18H",31.6,156,51,211,2.13,104,17,5.16,1.87,0.26,2.74,NA,139,2.6,52.1,0.45,8.3,18.1,131,"spring",5,2003,67
"68","A048057587",-0.494556904822482,7.2,3,2003,"spring",4838400,0,57,"F",19.9,"chocolate",4,1,"12E",27.5,131,37,123,2.14,100,23,NA,1.71,0.41,1.73,NA,133,2.76,42.6,0.33,6.8,19.9,NA,NA,NA,NA,74
"69","A048057608",-0.379054664511664,7.5,3,2003,"spring",4838400,0,57,"M",28.4,"chocolate",3,1,"12C",27.5,124,19,66,2.08,100,20,11.19,1.93,0.31,2.58,NA,136,2.96,44.7,0.56,7.4,28.4,NA,NA,NA,NA,73
"70","A048057823",-0.449847169853,7.2,1,2003,"winter",0,0,1,"M",23.1,"chocolate",5,1,"4B",27.1,149,29,64,2.31,108,23,13.39,2.13,0.41,2.14,7.9,140,3.04,49.6,0.68,12.5,23.1,NA,NA,NA,NA,64
"71","A048057883",-0.452356395148854,8.6,1,2003,"winter",-604800,0,-6,"M",30.8,"chocolate",5,1,"3A",28.9,82,35,112,2.24,103,22,5.69,1.54,0.37,2.81,NA,139,2.7,53.9,0.61,10,30.8,NA,NA,NA,NA,64
"72","A048058070",-0.442567676995773,7.7,3,2003,"spring",4838400,0,57,"M",26.9,"chocolate",3,3,"12B",28.7,122,25,143,2.07,99,20,10.04,2.28,0.42,2.56,NA,133,3.35,46.1,0.91,6,26.9,NA,NA,NA,NA,74
"73","A048058769",-0.53316147860584,8.2,4,2003,"spring",6652800,0,78,"M",27.2,"black",4,1,"15D",27.3,78,43,243,1.95,99,20,7.62,1.8,0.29,1.88,NA,132,2.97,48.6,0.51,7.2,27.2,116,"spring",5,2003,72
"74","A048058856",-0.455162210758403,7.4,4,2003,"spring",6652800,0,78,"F",21.2,"albino",6,1,"15E",31.5,129,65,273,1.94,97,NA,5.29,1.41,0.31,2.48,NA,128,2.82,52.3,0.1,5.9,21.2,117,"spring",5,2003,73
"75","A048058878",-0.482950798380386,7.5,2,2003,"winter",1209600,0,15,"F",19.9,"light.brown",5,1,"6E",31.3,178,28,148,2.31,105,19,10.43,1.83,0.38,2.12,NA,138,2.77,47.9,0.32,7.7,19.9,NA,NA,NA,NA,64
"76","A048059097",-0.464305590198273,7.4,3,2003,"spring",4233600,0,50,"M",26.2,"chocolate",4,1,"11C",27.9,95,33,146,2.28,113,18,11.18,NA,0.48,2.77,7.6,148,4.24,48.3,0.54,5.3,26.2,NA,NA,NA,NA,65
"77","A048059117",-0.429603016927375,8,3,2003,"spring",4233600,0,50,"M",30.5,"chocolate",4,1,"11B",27.1,132,72,170,2.08,98,NA,11.4,2.29,0.49,2.43,NA,133,3.74,48.1,0.5,5.9,30.5,NA,NA,NA,NA,65
"78","A048059602",-0.535278678735702,7.5,2,2003,"winter",2419200,0,29,"M",22.3,"albino",5,2,"8A",34.3,235,34,81,2.57,107,21,7.1,2.97,0.48,2.69,8.4,145,3.98,55,1.07,8.3,22.3,NA,NA,NA,NA,60
"79","A048059836",-0.498683936070674,8,2,2003,"winter",2419200,0,29,"F",23.8,"chocolate",4,1,"8D",32.5,192,33,138,2.48,111,21,6.81,1.88,NA,2.87,7.8,146,2.67,49.4,0.41,11.2,23.8,NA,NA,NA,NA,61
"80","A048060314",-0.501696450903618,8.3,2,2003,"winter",2419200,0,29,"M",25.6,"light.brown",5,2,"8C",29.2,108,27,144,2.41,108,21,8.71,NA,NA,NA,NA,146,NA,51.6,NA,8.8,25.6,NA,NA,NA,NA,65
"81","A048061051",-0.427744990298084,7,3,2003,"spring",4233600,0,50,"M",25.8,"albino",4,1,"11D",31.8,121,23,94,2.43,112,20,8.68,2.09,0.29,2.19,NA,149,2.73,51.2,0.5,8.3,25.8,NA,NA,NA,NA,65
"82","A048061341",-0.543728884253458,8,5,2003,"spring",9072000,0,106,"M",25.6,"dark.brown",5,3,"19C",29.3,116,26,119,2.12,93,17,13.08,1.68,0.37,2.89,NA,129,3.2,52.4,0.53,7.9,25.6,137,"summer",6,2003,67
"83","A048061513",-0.434152181326482,7.5,4,2003,"spring",8467200,0,99,"M",25.3,"black",4,1,"18D",26.5,100,40,98,2.04,97,21,10.33,2.29,0.34,2.55,NA,129,3.39,48.3,0.75,11.1,25.3,131,"spring",5,2003,67
"84","A048061517",-0.383815365980431,6.6,5,2003,"spring",9072000,0,106,"F",21,"black",5,2,"19F",35.3,120,NA,204,1.86,84,NA,8.58,1.56,0.44,2.49,NA,114,4.32,59.5,NA,7.6,21,138,"summer",6,2003,66
"85","A048061864",-0.534878309745889,6.7,2,2003,"winter",2419200,0,29,"M",24.6,"black",6,1,"8B",32.8,185,85,71,2.56,109,24,NA,NA,NA,2.66,7.7,147,4.57,54.4,NA,6.5,24.6,NA,NA,NA,NA,61
"86","A048062325",-0.392445698128618,7.2,5,2003,"spring",10281600,0,120,"M",27.1,"albino",4,1,"21A",29.7,141,28,94,2.04,89,NA,13.89,1.94,0.34,2.08,NA,123,3.11,50.1,NA,6.3,27.1,151,"summer",6,2003,63
"87","A048063276",-0.465735859143769,8,4,2003,"spring",7862400,0,92,"M",25.8,"chocolate",4,6,"17A",29,85,24,108,1.81,88,19,7.2,2.14,NA,2.04,NA,121,3.92,50.8,0.39,7.2,25.8,123,"spring",5,2003,67
"88","A048063277",-0.480609582565484,7.5,5,2003,"spring",9072000,0,106,"F",19.6,"black",5,2,"19F",30.3,161,28,98,2.11,100,NA,6.35,1.66,0.36,2.82,NA,132,2.61,49.9,0.58,7.1,19.6,138,"summer",6,2003,66
"89","A048063778",-0.544939635753784,6.7,2,2003,"winter",1814400,0,22,"F",16.9,"dark.brown",6,2,"7F",25.8,114,66,133,2.21,93,19,10,1.25,0.35,2.29,7.3,129,1.95,40.9,0.76,6.5,16.9,NA,NA,NA,NA,61
"90","A048064308",-0.440318606811914,6.3,5,2003,"spring",9676800,0,113,"F",15.9,"light.brown",6,4,"20F",27.7,126,36,154,1.91,90,NA,5.53,1.77,0.3,2.52,NA,120,3.27,50.9,0.73,7.6,15.9,145,"summer",6,2003,68
"91","A048065035",-0.492443951914216,7.5,5,2003,"spring",9072000,0,106,"F",16.8,"chocolate",6,1,"19E",33.9,172,35,138,2.24,103,21,11.06,2.1,0.34,NA,NA,134,3.16,53.1,0.66,8.3,16.8,138,"summer",6,2003,66
"92","A048066343",-0.584331224367531,7.2,2,2003,"winter",2419200,0,29,"M",20.7,"chocolate",5,2,"8A",31,181,36,120,2.12,98,NA,6.56,1.97,0.33,2.8,NA,133,3.45,50.8,0.65,6.2,20.7,NA,NA,NA,NA,60
"93","A048066594",-0.422672472108194,8.7,4,2003,"spring",7862400,0,92,"M",39.1,"black",5,2,"17C",30.1,130,29,99,2.15,95,23,NA,1.92,0.3,2.14,NA,129,3.1,53.8,1.22,6.9,23,124,"spring",5,2003,66
"94","A048067278",-0.46462888456519,6.7,5,2003,"spring",9072000,0,106,"F",17.9,"black",5,2,"19G",29.7,117,31,171,1.77,87,NA,4.88,1.42,0.23,3.04,NA,119,2.97,48,0.18,7.4,17.9,138,"summer",6,2003,68
"95","A048067529",-0.517708945241658,7.7,2,2003,"winter",1814400,0,22,"M",25,"black",3,1,"7D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","A048067791",-0.397940008672038,8,4,2003,"spring",7862400,0,92,"M",34.5,"black",5,2,"17C",27.4,94,31,110,2.03,90,24,NA,1.82,0.39,2.36,NA,123,3.25,50,1.19,6.6,34.5,124,"spring",5,2003,66
"97","A048067887",-0.411600357119053,6.7,5,2003,"spring",9676800,0,113,"F",19.9,"albino",6,4,"20F",29.5,147,27,100,2,92,NA,13.05,1.86,0.36,2.34,NA,127,3.24,51.3,NA,4.7,19.9,145,"summer",6,2003,68
"98","A048068026",-0.414103502272857,6.7,3,2003,"spring",3628800,0,43,"F",17.5,"chocolate",6,2,"10E",33.8,166,37,251,2.47,112,19,9.08,1.56,0.38,3.03,6.6,148,2.27,49,0.56,8.1,17.5,NA,NA,NA,NA,67
"99","A048068077",-0.512347598844462,7.8,4,2003,"spring",6652800,0,78,"F",21.6,"black",6,1,"15E",24.4,108,49,305,1.71,92,20,11.89,0.96,0.22,1.86,NA,120,1.9,39.9,0.18,6.1,21.6,117,"spring",5,2003,73
"100","A048068368",-0.317647731659436,6.3,4,2003,"spring",8467200,0,99,"M",24.8,"albino",4,1,"18D",26.4,118,23,54,2.24,98,22,8.78,2.31,0.37,2.4,9.4,132,3.16,47.9,0.5,8,24.8,131,"spring",5,2003,67
"101","A048069001",-0.389166084364532,7,4,2003,"spring",6652800,0,78,"M",27.2,"silverado",4,1,"15C",24.6,44,76,387,1.56,85,NA,7.78,1.01,0.4,2.29,NA,115,3.38,43.8,0.32,7.2,27.2,116,"spring",5,2003,72
"102","A048069049",-0.394561116251239,6.3,3,2003,"spring",4838400,0,57,"F",19,"chocolate",4,1,"12F",31.5,170,23,98,2.27,99,25,13.07,1.68,0.32,2.25,8.3,134,2.35,46.5,0.57,8,19,NA,NA,NA,NA,75
